Class,Name,Image
recycle,Steel tin,https://st.depositphotos.com/1001877/3814/i/950/depositphotos_38143849-stock-photo-food-tin-can-on-white.jpg
recycle,Aluminium cans,https://previews.123rf.com/images/kittisaktaramas/kittisaktaramas1110/kittisaktaramas111000050/11041092-3d-illustration-of-three-aluminum-cans-over-white-background.jpg
recycle,Glass bottles,https://thumbs.dreamstime.com/z/empty-glass-bottles-white-background-recycling-problem-137945593.jpg
recycle,Mobile phones,https://image.shutterstock.com/image-photo/pile-four-black-smartphones-silver-260nw-243462598.jpg
recycle,Scrap metal,https://thumbs.dreamstime.com/b/pile-scrap-metal-shavings-isolated-white-background-scrap-metal-recycling-plant-site-pile-scrap-metal-shavings-isolated-183438251.jpg
recycle,Clothing,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSAziNHIjvbwMcaD2fda8a1iQXWFDCTf1ODTw&usqp=CAU
hazardous,Toxic,https://static.wikia.nocookie.net/gemmy/images/9/9f/191245228103.jpg/revision/latest?cb=20190810023124
hazardous,Infectious,https://image.shutterstock.com/image-vector/throwing-infectious-waste-yellow-bin-260nw-1757622764.jpg
hazardous,Radioactive,https://thumbs.dreamstime.com/z/barrel-radioactive-materials-28409050.jpg
hazardous,Paints,https://previews.123rf.com/images/digitalgenetics/digitalgenetics1407/digitalgenetics140700004/29654485-3d-render-of-colorful-paint-bucket-on-white-background.jpg
hazardous,Pesticides,https://previews.123rf.com/images/ra3rn/ra3rn1502/ra3rn150200017/36375932-garden-spray-pesticides-isolated-on-white-background.jpg
hazardous,Propane tanks,https://previews.123rf.com/images/ubonwanu/ubonwanu1803/ubonwanu180300022/97130705-green-lpg-cooking-gas-cylinder-or-propane-tank-isolated-on-white-background.jpg
hazardous,Syringes,https://previews.123rf.com/images/jethrotu/jethrotu2001/jethrotu200100079/138468279-three-syringes-with-medicinal-solution-on-white-background-with-reflection-and-water-drops-2-and-5-m.jpg
hazardous,Used motor oil,https://thumbs.dreamstime.com/z/pouring-engine-oil-20575387.jpg
hazardous,Cleaning products,https://previews.123rf.com/images/maxxyustas/maxxyustas1212/maxxyustas121200012/16647966-plastic-detergent-bottles-on-white-background-cleaning-products-3d.jpg
hazardous,Batteries,https://thumbs.dreamstime.com/z/batteries-corrosion-various-shapes-sizes-lies-loose-white-background-environmental-protection-recycling-used-104936063.jpg
hazardous,Spray cans,https://d2gg9evh47fn9z.cloudfront.net/800px_COLOURBOX7129671.jpg
hazardous,Thinners and solvents,https://davidneat.files.wordpress.com/2013/05/acetone.jpg
hazardous,Oil-soaked rags,https://www.lmb-supplies.co.uk/wp-content/uploads/2016/03/rsz_storage_and_disposal_of_oily_rags.jpg
